time,leg_length,hip_angle_rad,hip_angle_deg,contact,height_from_gps,arm_angle_raw_rad,arm_angle_rad,arm_angle_deg,x_displacement,foot_x_computed,foot_z_computed,roll,pitch,yaw
0.000000,0.099962,0.000015,0.001,0,0.373330,0.327000,0.000624,0.036,0.000281,0.000282,0.273368,-3.136699,0.450194,3.129667
0.001000,0.099972,0.000016,0.001,0,0.373213,0.327000,0.000624,0.036,0.000281,0.000282,0.273241,-3.136696,0.449896,3.129669
0.002000,0.099990,0.000018,0.001,0,0.373090,0.327000,0.000624,0.036,0.000281,0.000282,0.273101,-3.136692,0.449583,3.129671
0.003000,0.100007,0.000019,0.001,0,0.372963,0.327000,0.000624,0.036,0.000281,0.000283,0.272956,-3.136689,0.449255,3.129673
0.004000,0.100018,0.000021,0.001,0,0.372830,0.327000,0.000624,0.036,0.000281,0.000283,0.272811,-3.136685,0.448913,3.129676
0.005000,0.100021,0.000023,0.001,0,0.372691,0.327000,0.000624,0.036,0.000281,0.000283,0.272670,-3.136682,0.448556,3.129678
0.006000,0.100018,0.000024,0.001,0,0.372547,0.327000,0.000624,0.036,0.000281,0.000283,0.272529,-3.136678,0.448184,3.129680
0.007000,0.100012,0.000026,0.002,0,0.372398,0.327000,0.000624,0.036,0.000281,0.000283,0.272386,-3.136674,0.447797,3.129683
0.008000,0.100006,0.000028,0.002,0,0.372243,0.327000,0.000623,0.036,0.000280,0.000283,0.272237,-3.136670,0.447395,3.129685
0.009000,0.100002,0.000030,0.002,0,0.372083,0.327000,0.000623,0.036,0.000280,0.000284,0.272081,-3.136666,0.446978,3.129688
0.010000,0.100000,0.000032,0.002,0,0.371917,0.327000,0.000623,0.036,0.000280,0.000284,0.271917,-3.136661,0.446546,3.129691
0.011000,0.100001,0.000034,0.002,0,0.371747,0.327000,0.000623,0.036,0.000280,0.000284,0.271745,-3.136657,0.446100,3.129694
0.012000,0.100003,0.000037,0.002,0,0.371570,0.327000,0.000623,0.036,0.000280,0.000284,0.271567,-3.136652,0.445639,3.129697
0.013000,0.100006,0.000039,0.002,0,0.371389,0.327000,0.000623,0.036,0.000280,0.000284,0.271383,-3.136647,0.445162,3.129700
0.014000,0.100007,0.000041,0.002,0,0.371202,0.327000,0.000623,0.036,0.000280,0.000285,0.271195,-3.136642,0.444671,3.129703
0.015000,0.100008,0.000044,0.003,0,0.371009,0.327000,0.000623,0.036,0.000280,0.000285,0.271001,-3.136637,0.444164,3.129706
0.016000,0.100008,0.000046,0.003,0,0.370811,0.327000,0.000623,0.036,0.000280,0.000285,0.270804,-3.136632,0.443643,3.129709
0.017000,0.100007,0.000049,0.003,0,0.370608,0.327000,0.000623,0.036,0.000280,0.000285,0.270601,-3.136626,0.443107,3.129713
0.018000,0.100006,0.000051,0.003,0,0.370399,0.327000,0.000623,0.036,0.000280,0.000285,0.270393,-3.136620,0.442555,3.129716
0.019000,0.100005,0.000054,0.003,0,0.370185,0.327000,0.000623,0.036,0.000280,0.000286,0.270180,-3.136615,0.441989,3.129720
0.020000,0.100005,0.000057,0.003,0,0.369965,0.327000,0.000623,0.036,0.000280,0.000286,0.269960,-3.136609,0.441408,3.129723
0.021000,0.100005,0.000060,0.003,0,0.369740,0.326999,0.000623,0.036,0.000280,0.000286,0.269735,-3.136603,0.440812,3.129727
0.022000,0.100006,0.000063,0.004,0,0.369510,0.326999,0.000623,0.036,0.000280,0.000287,0.269504,-3.136597,0.440201,3.129731
0.023000,0.100006,0.000066,0.004,0,0.369273,0.326999,0.000623,0.036,0.000280,0.000287,0.269268,-3.136590,0.439575,3.129735
0.024000,0.100006,0.000069,0.004,0,0.369032,0.326999,0.000623,0.036,0.000280,0.000287,0.269026,-3.136584,0.438934,3.129739
0.025000,0.100006,0.000072,0.004,0,0.368785,0.326999,0.000623,0.036,0.000280,0.000287,0.268778,-3.136577,0.438278,3.129743
0.026000,0.100006,0.000075,0.004,0,0.368532,0.326999,0.000623,0.036,0.000280,0.000288,0.268526,-3.136570,0.437607,3.129747
0.027000,0.100006,0.000079,0.005,0,0.368273,0.326999,0.000623,0.036,0.000280,0.000288,0.268267,-3.136564,0.436922,3.129752
