time,leg_length,hip_angle_rad,hip_angle_deg,contact,gps_x,gps_y,gps_z,roll,pitch,yaw,height_from_gps
0.000000,-0.002421,-0.001000,-0.057,0,0.270479,0.006754,0.533722,-3.117644,0.961197,-3.088012,0.533722
0.001000,-0.000842,-0.001000,-0.057,0,0.270476,0.006754,0.533719,-3.117644,0.961199,-3.088012,0.533719
0.002000,0.000497,-0.001000,-0.057,0,0.270477,0.006754,0.533713,-3.117644,0.961190,-3.088012,0.533713
0.003000,0.001239,-0.001000,-0.057,0,0.270485,0.006754,0.533702,-3.117646,0.961165,-3.088013,0.533702
0.004000,0.001338,-0.001000,-0.057,0,0.270499,0.006755,0.533686,-3.117648,0.961122,-3.088015,0.533686
0.005000,0.000970,-0.001000,-0.057,0,0.270518,0.006755,0.533666,-3.117651,0.961063,-3.088018,0.533666
0.006000,0.000407,-0.001000,-0.057,0,0.270541,0.006756,0.533642,-3.117655,0.960993,-3.088021,0.533642
0.007000,-0.000104,-0.001000,-0.057,0,0.270567,0.006756,0.533616,-3.117659,0.960913,-3.088024,0.533616
0.008000,-0.000414,-0.001000,-0.057,0,0.270594,0.006757,0.533588,-3.117663,0.960826,-3.088028,0.533588
0.009000,-0.000487,-0.001000,-0.057,0,0.270624,0.006758,0.533558,-3.117668,0.960732,-3.088031,0.533558
0.010000,-0.000377,-0.001000,-0.057,0,0.270656,0.006759,0.533526,-3.117673,0.960632,-3.088036,0.533526
0.011000,-0.000179,-0.001000,-0.057,0,0.270691,0.006759,0.533491,-3.117678,0.960523,-3.088040,0.533491
0.012000,0.000014,-0.001000,-0.057,0,0.270730,0.006760,0.533454,-3.117684,0.960405,-3.088045,0.533454
0.013000,0.000140,-0.001000,-0.057,0,0.270771,0.006761,0.533415,-3.117691,0.960277,-3.088050,0.533415
0.014000,0.000181,-0.001000,-0.057,0,0.270817,0.006763,0.533372,-3.117698,0.960138,-3.088056,0.533372
0.015000,0.000151,-0.001000,-0.057,0,0.270866,0.006764,0.533327,-3.117706,0.959988,-3.088062,0.533327
0.016000,0.000082,-0.001000,-0.057,0,0.270919,0.006765,0.533279,-3.117714,0.959828,-3.088069,0.533279
0.017000,0.000010,-0.001000,-0.057,0,0.270974,0.006766,0.533229,-3.117722,0.959658,-3.088076,0.533229
0.018000,-0.000041,-0.001000,-0.057,0,0.271034,0.006768,0.533177,-3.117731,0.959479,-3.088083,0.533177
0.019000,-0.000060,-0.001000,-0.057,0,0.271096,0.006769,0.533122,-3.117741,0.959290,-3.088091,0.533122
0.020000,-0.000053,-0.001000,-0.057,0,0.271161,0.006771,0.533066,-3.117751,0.959092,-3.088099,0.533066
0.021000,-0.000030,-0.001000,-0.057,0,0.271230,0.006773,0.533007,-3.117762,0.958884,-3.088107,0.533007
0.022000,-0.000003,-0.001000,-0.057,0,0.271302,0.006775,0.532946,-3.117773,0.958666,-3.088116,0.532946
0.023000,0.000017,-0.001000,-0.057,0,0.271378,0.006776,0.532882,-3.117784,0.958438,-3.088126,0.532882
0.024000,0.000026,-0.001000,-0.057,0,0.271457,0.006778,0.532817,-3.117796,0.958199,-3.088135,0.532817
0.025000,0.000025,-0.001000,-0.057,0,0.271540,0.006780,0.532749,-3.117809,0.957951,-3.088146,0.532749
0.026000,0.000017,-0.001000,-0.057,0,0.271626,0.006783,0.532680,-3.117822,0.957692,-3.088156,0.532680
0.027000,0.000007,-0.001000,-0.057,0,0.271715,0.006785,0.532608,-3.117836,0.957423,-3.088167,0.532608
0.028000,-0.000000,-0.001000,-0.057,0,0.271808,0.006787,0.532534,-3.117850,0.957143,-3.088178,0.532534
0.029000,-0.000004,-0.001000,-0.057,0,0.271904,0.006790,0.532458,-3.117864,0.956854,-3.088190,0.532458
0.030000,-0.000005,-0.001000,-0.057,0,0.272004,0.006792,0.532380,-3.117879,0.956554,-3.088202,0.532380
0.031000,-0.000002,-0.001000,-0.057,0,0.272107,0.006795,0.532300,-3.117895,0.956244,-3.088215,0.532300
0.032000,0.000001,-0.001000,-0.057,0,0.272214,0.006797,0.532217,-3.117911,0.955924,-3.088228,0.532217
0.033000,0.000004,-0.001000,-0.057,0,0.272324,0.006800,0.532133,-3.117928,0.955593,-3.088241,0.532133
0.034000,0.000006,-0.001000,-0.057,0,0.272437,0.006803,0.532046,-3.117945,0.955252,-3.088255,0.532046
0.035000,0.000006,-0.001000,-0.057,0,0.272554,0.006806,0.531958,-3.117962,0.954901,-3.088269,0.531958
0.036000,0.000006,-0.001000,-0.057,0,0.272674,0.006809,0.531867,-3.117981,0.954539,-3.088284,0.531867
