Time,Phase,Height_Z,Horiz_X,Vel_Z,Vel_X,Hip_Angle,Leg_Compression,Centrifugal_W,Contact
0.001,1,0.1652,0.4466,165.1868,446.5674,0.0,-0.0018,-0.0,0
0.002,1,0.1652,0.4466,-0.0071,-0.0002,0.0,-0.0006,-0.0,0
0.003,1,0.1652,0.4466,-0.0157,0.0001,0.0073,0.0004,0.0197,0
0.004,1,0.1651,0.4466,-0.0273,-0.0004,0.0219,0.0009,0.0589,0
0.005,1,0.1651,0.4466,-0.0413,-0.0016,0.0391,0.001,0.1059,0
0.006,1,0.165,0.4466,-0.0549,-0.0031,0.0559,0.0008,0.1529,0
0.007,1,0.165,0.4466,-0.0676,-0.0044,0.0724,0.0004,0.1999,0
0.008,1,0.1649,0.4466,-0.0798,-0.0057,0.0884,0.0,0.2468,0
0.009,1,0.1648,0.4465,-0.0918,-0.0071,0.104,-0.0002,0.2938,0
0.01,1,0.1647,0.4465,-0.1043,-0.0085,0.1192,-0.0003,0.3408,0
0.011,1,0.1646,0.4465,-0.1173,-0.0101,0.134,-0.0002,0.3878,0
0.012,1,0.1644,0.4465,-0.1312,-0.0117,0.1484,-0.0,0.4348,0
0.013,1,0.1643,0.4465,-0.1458,-0.0135,0.1623,0.0001,0.4818,0
0.014,1,0.1641,0.4465,-0.161,-0.0153,0.1758,0.0002,0.5288,0
0.015,1,0.164,0.4465,-0.1766,-0.0172,0.1889,0.0002,0.5758,0
0.016,1,0.1638,0.4464,-0.1925,-0.0192,0.2016,0.0001,0.6228,0
0.017,1,0.1636,0.4464,-0.2086,-0.0213,0.2138,0.0001,0.6698,0
0.018,1,0.1633,0.4464,-0.2249,-0.0234,0.2256,0.0,0.7168,0
0.019,1,0.1631,0.4464,-0.2415,-0.0255,0.2369,0.0,0.7638,0
0.02,1,0.1628,0.4464,-0.2583,-0.0276,0.2478,-0.0,0.8108,0
0.021,1,0.1626,0.4463,-0.2754,-0.0298,0.2583,-0.0,0.8578,0
0.022,1,0.1623,0.4463,-0.2928,-0.032,0.2683,0.0,0.9048,0
0.023,1,0.162,0.4463,-0.3104,-0.0343,0.2779,0.0,0.9518,0
0.024,1,0.1616,0.4462,-0.3283,-0.0365,0.2869,0.0,0.9988,0
0.025,1,0.1613,0.4462,-0.3464,-0.0388,0.2956,0.0,1.0458,0
0.026,1,0.1609,0.4461,-0.3647,-0.0411,0.3037,0.0,1.0928,0
0.027,1,0.1605,0.4461,-0.383,-0.0433,0.3114,0.0,1.1398,0
0.028,1,0.1601,0.4461,-0.4014,-0.0456,0.3186,0.0,1.1868,0
0.029,1,0.1597,0.446,-0.4198,-0.0479,0.3254,0.0,1.2338,0
0.03,1,0.1593,0.446,-0.4382,-0.0501,0.3316,-0.0,1.2808,0
0.031,1,0.1588,0.4459,-0.4565,-0.0524,0.3374,-0.0,1.3278,0
0.032,1,0.1583,0.4458,-0.4748,-0.0546,0.3427,-0.0,1.3747,0
0.033,1,0.1579,0.4458,-0.493,-0.0569,0.3475,0.0,1.4217,0
0.034,1,0.1573,0.4457,-0.511,-0.0591,0.3517,0.0,1.4687,0
0.035,1,0.1568,0.4457,-0.5288,-0.0613,0.3555,0.0,1.5157,0
0.036,1,0.1563,0.4456,-0.5463,-0.0635,0.3588,0.0,1.5627,0
0.037,1,0.1557,0.4455,-0.5634,-0.0657,0.3615,0.0,1.6097,0
0.038,1,0.1551,0.4455,-0.5802,-0.0678,0.3638,0.0,1.6567,0
0.039,1,0.1545,0.4454,-0.5965,-0.0699,0.3655,0.0,1.7037,0
0.04,1,0.1539,0.4453,-0.6123,-0.072,0.3667,0.0,1.7507,0
0.041,1,0.1533,0.4453,-0.6276,-0.0741,0.3673,0.0,1.7977,0
0.042,1,0.1526,0.4452,-0.6421,-0.0761,0.3675,0.0,1.8447,0
0.043,1,0.152,0.4451,-0.656,-0.0781,0.3671,0.0,1.8917,0
0.044,1,0.1513,0.445,-0.6691,-0.08,0.3661,0.0,1.9387,0
0.045,1,0.1506,0.4449,-0.6814,-0.0819,0.3647,0.0,1.9856,0
0.046,1,0.1499,0.4449,-0.6927,-0.0837,0.3626,0.0,2.0326,0
0.047,1,0.1492,0.4448,-0.703,-0.0855,0.3601,0.0,2.0796,0
0.048,1,0.1485,0.4447,-0.7123,-0.0871,0.357,0.0,2.1266,0
0.049,1,0.1478,0.4446,-0.7196,-0.0887,0.3534,0.0,2.1736,0
0.05,1,0.1471,0.4445,-0.7204,-0.0897,0.3499,0.0,2.2206,0
0.051,1,0.1464,0.4444,-0.7201,-0.0906,0.3464,0.0,2.2676,0
0.052,1,0.1457,0.4443,-0.7189,-0.0914,0.3429,0.0,2.3146,0
0.053,1,0.1449,0.4442,-0.7167,-0.0921,0.3395,0.0,2.3616,0
0.054,1,0.1442,0.4441,-0.7136,-0.0927,0.3361,0.0,2.4085,0
0.055,1,0.1435,0.444,-0.7097,-0.0933,0.3327,0.0,2.4555,0
0.056,1,0.1428,0.444,-0.7049,-0.0937,0.3294,0.0,2.5025,0
0.057,1,0.1421,0.4439,-0.6993,-0.094,0.3261,0.0,2.5495,1
0.058,1,0.1414,0.4438,-0.6765,-0.0889,0.3238,-0.001,2.5965,1
0.059,1,0.1408,0.4437,-0.6619,-0.0884,0.3215,-0.0018,2.6435,1
0.06,1,0.1401,0.4436,-0.6399,-0.0855,0.3198,-0.0025,2.6905,1
0.061,1,0.1395,0.4435,-0.6126,-0.0816,0.319,-0.0031,2.7375,1
0.062,1,0.1389,0.4434,-0.5814,-0.0771,0.3193,-0.0036,2.7845,1
0.063,1,0.1384,0.4434,-0.5475,-0.0723,0.3208,-0.004,2.8315,1
0.064,1,0.1379,0.4433,-0.5163,-0.0676,0.3233,-0.0043,2.8785,1
0.065,1,0.1374,0.4432,-0.4925,-0.0635,0.3258,-0.0047,2.9254,1
0.066,1,0.1369,0.4432,-0.468,-0.0594,0.3284,-0.005,2.9724,1
0.067,1,0.1365,0.4431,-0.4424,-0.0552,0.331,-0.0053,3.0194,1
0.068,1,0.1361,0.4431,-0.4157,-0.0508,0.3337,-0.0056,3.0664,1
0.069,1,0.1357,0.443,-0.388,-0.0464,0.3363,-0.0058,3.1134,1
0.07,1,0.1353,0.443,-0.3594,-0.042,0.3389,-0.006,3.1604,1
0.071,1,0.135,0.4429,-0.3301,-0.0375,0.3416,-0.0062,3.2074,1
0.072,1,0.1347,0.4429,-0.3002,-0.0331,0.3442,-0.0063,3.2544,1
0.073,1,0.1344,0.4429,-0.2698,-0.0288,0.3468,-0.0064,3.3014,1
0.074,1,0.1342,0.4429,-0.2389,-0.0245,0.3495,-0.0065,3.3484,1
0.075,1,0.134,0.4428,-0.2078,-0.0203,0.3521,-0.0066,3.3954,1
0.076,1,0.1338,0.4428,-0.1765,-0.0161,0.3546,-0.0066,3.4424,1
0.077,1,0.1336,0.4428,-0.1452,-0.0121,0.3572,-0.0066,3.4894,1
0.078,1,0.1335,0.4428,-0.1151,-0.0108,0.3597,-0.0066,3.5364,1
0.079,1,0.1334,0.4428,-0.088,-0.0142,0.3622,-0.0065,3.5833,1
0.08,1,0.1334,0.4428,-0.0635,-0.0185,0.3646,-0.0065,3.6303,1
0.081,1,0.1333,0.4427,-0.0412,-0.0231,0.3669,-0.0064,3.6773,1
0.082,1,0.1333,0.4427,-0.0207,-0.0276,0.3692,-0.0063,3.7243,1
0.083,1,0.1333,0.4427,-0.0009,-0.0301,0.3715,-0.0061,3.7713,1
0.084,1,0.1333,0.4426,0.0183,-0.0314,0.3737,-0.006,3.8183,1
0.085,1,0.1334,0.4426,0.0369,-0.0319,0.3758,-0.0059,3.8653,1
0.086,1,0.1334,0.4426,0.055,-0.0315,0.3779,-0.0057,3.9123,1
0.087,1,0.1335,0.4426,0.0724,-0.0304,0.3799,-0.0055,3.9593,1
