time,phase,z,x,compression,leg_length,hip_angle,target_hip_angle,vx,vz,omega,contact
0.001,START,0.374005,0.384699,0.001759,0.098241,0.000002,-0.244346,384.698713,0.000000,0.001846,0,-0.000000
0.002,START,0.373999,0.384699,0.000579,0.099421,0.000004,-0.244346,0.000498,-0.006279,0.002142,0,-0.000000
0.003,START,0.373986,0.384703,-0.000402,0.100402,0.000008,-0.244346,0.003344,-0.013001,0.001858,0,-0.000000
0.004,START,0.373965,0.384709,-0.000921,0.100921,0.000011,-0.244346,0.006812,-0.020907,0.001542,0,-0.000000
0.005,START,0.373936,0.384720,-0.000961,0.100961,0.000015,-0.244346,0.010256,-0.028847,0.001414,0,-0.000001
0.006,START,0.373900,0.384733,-0.000667,0.100667,0.000020,-0.244346,0.013288,-0.036028,0.001490,0,-0.000001
0.007,START,0.373858,0.384749,-0.000250,0.100250,0.000025,-0.244346,0.015799,-0.042175,0.001691,0,-0.000001
0.008,START,0.373811,0.384767,0.000109,0.099891,0.000031,-0.244346,0.017899,-0.047446,0.001910,0,-0.000002
0.009,START,0.373758,0.384786,0.000310,0.099690,0.000038,-0.244346,0.019805,-0.052235,0.002070,0,-0.000003
0.010,START,0.373702,0.384808,0.000339,0.099661,0.000045,-0.244346,0.021733,-0.056963,0.002137,0,-0.000003
0.011,START,0.373640,0.384832,0.000242,0.099758,0.000054,-0.244346,0.023826,-0.061925,0.002120,0,-0.000004
0.012,START,0.373572,0.384858,0.000096,0.099904,0.000063,-0.244346,0.026129,-0.067236,0.002054,0,-0.000005
0.013,START,0.373500,0.384887,-0.000035,0.100035,0.000072,-0.244346,0.028610,-0.072849,0.001978,0,-0.000006
0.014,START,0.373421,0.384918,-0.000113,0.100113,0.000082,-0.244346,0.031192,-0.078630,0.001923,0,-0.000007
0.015,START,0.373336,0.384952,-0.000128,0.100128,0.000093,-0.244346,0.033794,-0.084427,0.001901,0,-0.000008
0.016,START,0.373246,0.384988,-0.000097,0.100097,0.000104,-0.244346,0.036363,-0.090130,0.001909,0,-0.000009
0.017,START,0.373151,0.385027,-0.000046,0.100046,0.000116,-0.244346,0.038875,-0.095692,0.001935,0,-0.000010
0.018,START,0.373050,0.385068,0.000002,0.099998,0.000129,-0.244346,0.041337,-0.101126,0.001965,0,-0.000011
0.019,START,0.372943,0.385112,0.000032,0.099968,0.000142,-0.244346,0.043774,-0.106480,0.001988,0,-0.000013
0.020,START,0.372831,0.385158,0.000039,0.099961,0.000156,-0.244346,0.046210,-0.111808,0.001999,0,-0.000014
0.021,START,0.372714,0.385207,0.000029,0.099971,0.000171,-0.244346,0.048663,-0.117154,0.001997,0,-0.000016
0.022,START,0.372592,0.385258,0.000011,0.099989,0.000186,-0.244346,0.051139,-0.122536,0.001987,0,-0.000018
